Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:44:19.958 079 011,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7f32b0a6bfb0, ip=0x7f32b0a6bfb0, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 080 580,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7f32b0a7e320, ip=0x7f32b0a7e320, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 100 538,kernel_3,3,syscall_entry_brk,"brk=0, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[mm/mmap.c:0]
09:44:19.958 100 779,kernel_3,3,syscall_exit_brk,"ret=23597056, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[mm/mmap.c:0]
09:44:19.958 100 945,kernel_3,3,syscall_entry_brk,"brk=23732224, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[mm/mmap.c:0]
09:44:19.958 101 518,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff8119d526, ptr=0xffff88079c2d0b80, bytes_req=192, bytes_alloc=192, gfp_flags=37781696, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 101 947,kernel_3,3,syscall_exit_brk,"ret=23732224, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[mm/mmap.c:0]
09:44:19.958 102 361,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1681008, ip=0x7f32b0a7c46a, error_code=0x6, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 102 915,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea00032cf4c0, pfn=832467, order=0, gfp_flags=40010944, migratetype=0, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 103 171,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811a2571, ptr=0xffff8807f5e8b340, bytes_req=64, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 103 351,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811a261b, ptr=0xffff8807f6cbe080, bytes_req=72, bytes_alloc=72, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 103 834,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea000323a580, pfn=822934, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 104 926,kernel_3,3,syscall_entry_open,"filename=/proc/filesystems, flags=0, mode=438, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[fs/open.c:0]
09:44:19.958 105 196,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811e60b3, ptr=0xffff8807dce8d000, bytes_req=4096, bytes_alloc=4096, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 105 639,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811d8dd7, ptr=0xffff880781263f00, bytes_req=256, bytes_alloc=256, gfp_flags=37781696, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 106 727,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811ef670, ptr=0xffff8807578d9198, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 108 178,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff8123d9ed, ptr=0xffff8807f88269e8, bytes_req=616, bytes_alloc=616, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 109 318,kernel_3,3,kmem_kmalloc,"call_site=0xffffffff8123dc0d, ptr=0xffff88075d252800, bytes_req=40, bytes_alloc=64, gfp_flags=37781696, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 109 622,kernel_3,3,kmem_kmalloc,"call_site=0xffffffff811fab5e, ptr=0xffff88036f09c120, bytes_req=32, bytes_alloc=32, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 109 818,kernel_3,3,kmem_kmalloc,"call_site=0xffffffff811faabf, ptr=0xffff8807f8e0b700, bytes_req=136, bytes_alloc=192, gfp_flags=37781696, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 110 342,kernel_3,3,kmem_cache_free,"call_site=0xffffffff811d66e5, ptr=0xffff8807dce8d000, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 110 494,kernel_3,3,syscall_exit_open,"ret=5, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[fs/open.c:0]
09:44:19.958 112 378,kernel_3,3,syscall_entry_newfstat,"fd=5, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[fs/stat.c:0]
09:44:19.958 112 693,kernel_3,3,syscall_exit_newfstat,"ret=0, statbuf=140728996682352, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[fs/stat.c:0]
09:44:19.958 112 953,kernel_3,3,syscall_entry_mmap,"addr=0x0, len=4096, prot=3, flags=34, fd=-1, offset=0, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[arch/x86/kernel:0]
09:44:19.958 113 975,kernel_3,3,syscall_exit_mmap,"ret=0x7f32b1751000, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[arch/x86/kernel:0]
09:44:19.958 114 361,kernel_3,3,syscall_entry_read,"fd=5, count=1024, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[fs/read_write.c:0]
09:44:19.958 114 918,kernel_3,3,kmem_kmalloc,"call_site=0xffffffff811fa043, ptr=0xffff8807dce8d000, bytes_req=4096, bytes_alloc=4096, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 122 279,kernel_3,3,x86_exceptions_page_fault_kernel,"address=0x7f32b1751000, ip=0xffffffff812f6e15, error_code=0x2, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 122 973,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea00034fba40, pfn=868073, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,
09:44:19.958 123 376,kernel_3,3,syscall_exit_read,"ret=279, buf=139855702331392, context.packet_seq_num=0, context.cpu_id=3",8463,20,8463,[fs/read_write.c:0]
