Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:47:51.766 594 227,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea001e21e5c0, pfn=7899031, order=0, gfp_flags=40010944, migratetype=0, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 594 445,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001e5cba40, pfn=7959273, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 595 351,kernel_3,3,x86_exceptions_page_fault_user,"address=0x179d6b0, ip=0x6f9e73, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 595 664,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001d59ecc0, pfn=7694259, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 596 634,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7f6591d13320, ip=0x6f9e90, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 596 820,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f6596798408, ip=0x7f659685195a, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 597 092,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001e88c5c0, pfn=8004375, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 597 484,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea001da4c980, pfn=7770918, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 598 032,kernel_3,3,x86_exceptions_page_fault_user,"address=0xead5d8, ip=0x6f9e99, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 598 437,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea0004801980, pfn=1179750, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 599 027,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f6599dbd9a8, ip=0x7f6596851989, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 599 598,kernel_3,3,syscall_entry_newfstat,"fd=5, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,[fs/stat.c:0]
09:47:51.766 599 649,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea001e83d440, pfn=7999313, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 600 049,kernel_3,3,syscall_exit_newfstat,"ret=0, statbuf=27837432, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,[fs/stat.c:0]
09:47:51.766 600 582,kernel_3,3,x86_exceptions_page_fault_user,"address=0x14ef180, ip=0x6c2ae7, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 600 722,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7ffd5dccb498, ip=0x7f6596851b47, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 600 974,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001f89e780, pfn=8267678, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 601 580,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f6596581b70, ip=0x7f6596581b70, error_code=0x14, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 601 895,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1bf44d8, ip=0x6c2b8e, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 602 212,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001db6c640, pfn=7789337, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 603 159,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1bf64f0, ip=0x6c2b91, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 603 471,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001ee5b400, pfn=8099536, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 603 706,kernel_0,0,syscall_entry_set_robust_list,"head=140074349554208, len=24, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,[kernel/futex.c:0]
09:47:51.766 604 061,kernel_0,0,syscall_exit_set_robust_list,"ret=0, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,[kernel/futex.c:0]
09:47:51.766 604 472,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f659680f610, ip=0x7f659680f610, error_code=0x14, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 604 493,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1b30030, ip=0x6c2d3d, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 604 814,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001b66c2c0, pfn=7183115, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 605 874,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1c68ec8, ip=0x6c2fdb, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 606 196,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001ee70340, pfn=8100877, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 606 573,kernel_0,0,x86_exceptions_page_fault_user,"address=0x1785b70, ip=0x7f65968519e3, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 607 190,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1c731c8, ip=0x6c2ff6, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 607 501,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001fb253c0, pfn=8309071, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 607 590,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f6596b39770, ip=0x7f65968519e3, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 608 454,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1c6aeb8, ip=0x6c2b91, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 608 768,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001f8cc300, pfn=8270604, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 609 207,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f6596794268, ip=0x7f6596582ab3, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 609 724,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea001e9cc840, pfn=8024865, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 609 882,kernel_3,3,x86_exceptions_page_fault_user,"address=0x1c709b8, ip=0x6c2b98, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 610 187,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001db87e00, pfn=7791096, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 610 693,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f6596b3a890, ip=0x7f6596851a65, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 611 273,kernel_3,3,syscall_entry_read,"fd=5, count=8192, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,[fs/read_write.c:0]
09:47:51.766 611 353,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f6596b37b10, ip=0x7f659680ff42, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 611 964,kernel_3,3,rcu_utilization,"s=Start context switch, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 612 149,kernel_3,3,rcu_utilization,"s=End context switch, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 612 216,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7f65968754a0, ip=0x7f65968754a0, error_code=0x14, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 612 463,kernel_3,3,sched_stat_runtime,"comm=php5, tid=9347, runtime=294530, vruntime=109143944590926, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 613 191,kernel_3,3,sched_switch,"prev_comm=php5, prev_tid=9347, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",9347,20,9347,
09:47:51.766 613 745,kernel_0,0,syscall_entry_dup2,"oldfd=6, newfd=1, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,[fs/file.c:0]
09:47:51.766 614 289,kernel_0,0,syscall_exit_dup2,"ret=1, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,[fs/file.c:0]
09:47:51.766 614 662,kernel_0,0,x86_exceptions_page_fault_user,"address=0x7ffd5dcc9478, ip=0x7f6596851efc, error_code=0x7, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 614 976,kernel_3,3,power_cpu_idle,"state=5, cpu_id=3, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:47:51.766 615 166,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea0004d7a480, pfn=1269394, order=0, gfp_flags=37880010, migratetype=1, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 616 399,kernel_0,0,x86_exceptions_page_fault_kernel,"address=0x7f65968fe5f8, ip=0xffffffffa09b0206, error_code=0x0, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 617 996,kernel_0,0,syscall_entry_execve,"filename=, argv=0x7ffd5dcc94a0, envp=0x17d89b0, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,[fs/exec.c:0]
09:47:51.766 618 522,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811e60b3, ptr=0xffff8806cce1d000, bytes_req=4096, bytes_alloc=4096, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 618 944,kernel_0,0,x86_exceptions_page_fault_kernel,"address=0x7f65968fe5f8, ip=0xffffffff81316139, error_code=0x0, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 620 828,kernel_0,0,kmem_kmalloc,"call_site=0xffffffff811de4f7, ptr=0xffff8807849fdd00, bytes_req=240, bytes_alloc=256, gfp_flags=37781696, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 621 157,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff81096901, ptr=0xffff8807f5beddc0, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 621 700,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811d8dd7, ptr=0xffff8807849fd300, bytes_req=256, bytes_alloc=256, gfp_flags=37781696, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 625 136,kernel_0,0,sched_waking,"comm=migration/0, tid=9, prio=-100, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
09:47:51.766 625 777,kernel_0,0,sched_wakeup,"comm=migration/0, tid=9, prio=-100, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",9468,20,9468,
