Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:48:52.570 313 178,kernel_1,1,irq_softirq_exit,"vec=7, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:48:52.570 313 262,kernel_1,1,irq_softirq_entry,"vec=9, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:48:52.570 313 356,kernel_2,2,irq_softirq_exit,"vec=7, context.packet_seq_num=0, context.cpu_id=2",0,20,,
09:48:52.570 313 426,kernel_1,1,rcu_utilization,"s=Start RCU core, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:48:52.570 313 482,kernel_3,3,irq_softirq_exit,"vec=7, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 313 574,kernel_3,3,irq_softirq_entry,"vec=9, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 313 746,kernel_3,3,rcu_utilization,"s=Start RCU core, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 313 789,kernel_0,0,timer_start,"timer=0xffff8807f8ee5208, function=0xffffffff8145dae0, expires=4577038925, now=4577038922, flags=1048576, context.packet_seq_num=0, context.cpu_id=0",9625,20,9625,
09:48:52.570 313 926,kernel_2,2,rcu_utilization,"s=Start context switch, context.packet_seq_num=0, context.cpu_id=2",0,20,,
09:48:52.570 313 933,kernel_1,1,rcu_utilization,"s=End RCU core, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:48:52.570 314 029,kernel_2,2,rcu_utilization,"s=End context switch, context.packet_seq_num=0, context.cpu_id=2",0,20,,
09:48:52.570 314 030,kernel_1,1,irq_softirq_exit,"vec=9, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:48:52.570 314 113,kernel_0,0,timer_expire_exit,"timer=0xffff8807f8ee5208, context.packet_seq_num=0, context.cpu_id=0",9625,20,9625,
09:48:52.570 314 298,kernel_0,0,irq_softirq_exit,"vec=1, context.packet_seq_num=0, context.cpu_id=0",9625,20,9625,
09:48:52.570 314 389,kernel_0,0,irq_softirq_entry,"vec=9, context.packet_seq_num=0, context.cpu_id=0",9625,20,9625,
09:48:52.570 314 419,kernel_2,2,sched_switch,"prev_comm=swapper/2, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=2",0,20,,
09:48:52.570 314 547,kernel_0,0,rcu_utilization,"s=Start RCU core, context.packet_seq_num=0, context.cpu_id=0",9625,20,9625,
09:48:52.570 314 605,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff880781a404c0, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 314 897,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff880781a40b80, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 315 077,kernel_0,0,rcu_utilization,"s=End RCU core, context.packet_seq_num=0, context.cpu_id=0",9625,20,9625,
09:48:52.570 315 077,kernel_1,1,power_cpu_idle,"state=5, cpu_id=1, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:48:52.570 315 148,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff8807f5df3e80, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 315 166,kernel_0,0,irq_softirq_exit,"vec=9, context.packet_seq_num=0, context.cpu_id=0",9625,20,9625,
09:48:52.570 315 391,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff880788245c40, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 315 693,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff8800dde53d00, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 315 719,kernel_2,2,timer_init,"timer=0xffff8807f988fdb0, context.packet_seq_num=0, context.cpu_id=2",7,20,7,
09:48:52.570 315 881,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff8800c4fd4400, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 315 945,kernel_2,2,timer_start,"timer=0xffff8807f988fdb0, function=0xffffffff810dbde0, expires=4577038923, now=4577038922, flags=2, context.packet_seq_num=0, context.cpu_id=2",7,20,7,
09:48:52.570 316 079,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff8800c4fd4f00, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 316 298,kernel_3,3,kmem_cache_free,"call_site=0xffffffff810d686f, ptr=0xffff8800c4fd4000, context.packet_seq_num=0, context.cpu_id=3",0,20,,
09:48:52.570 316 319,kernel_2,2,rcu_utilization,"s=Start context switch, context.packet_seq_num=0, context.cpu_id=2",7,20,7,
09:48:52.570 316 418,kernel_2,2,rcu_utilization,"s=End context switch, context.packet_seq_num=0, context.cpu_id=2",7,20,7,
