Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:40:50.908 762 321,kernel_2,2,syscall_exit_poll,"ret=1, ufds=139637909620960, context.packet_seq_num=0, context.cpu_id=2",7458,20,7457,[fs/select.c:0]
09:40:50.908 762 661,kernel_1,1,x86_exceptions_page_fault_user,"address=0x7efff4002e08, ip=0x7f000514b0b8, error_code=0x6, context.packet_seq_num=0, context.cpu_id=1",7459,20,7457,
09:40:50.908 763 038,kernel_1,1,kmem_mm_page_alloc,"page=0xffffea0007060240, pfn=1841161, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=1",7459,20,7457,
09:40:50.908 763 513,kernel_2,2,syscall_entry_read,"fd=7, count=16, context.packet_seq_num=0, context.cpu_id=2",7458,20,7457,[fs/read_write.c:0]
09:40:50.908 763 810,kernel_0,0,syscall_entry_eventfd2,"count=0, flags=526336, context.packet_seq_num=0, context.cpu_id=0",7457,20,7457,[fs/eventfd.c:0]
09:40:50.908 764 154,kernel_0,0,kmem_kmalloc,"call_site=0xffffffff812205a8, ptr=0xffff8807f599a380, bytes_req=48, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7457,20,7457,
09:40:50.908 764 251,kernel_2,2,syscall_exit_read,"ret=8, buf=139638039993600, context.packet_seq_num=0, context.cpu_id=2",7458,20,7457,[fs/read_write.c:0]
09:40:50.908 764 354,kernel_1,1,x86_exceptions_page_fault_user,"address=0x7efff4003e38, ip=0x7f000514b0b8, error_code=0x6, context.packet_seq_num=0, context.cpu_id=1",7459,20,7457,
09:40:50.908 764 464,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811ef670, ptr=0xffff880768cf0258, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7457,20,7457,
09:40:50.908 764 698,kernel_2,2,syscall_entry_poll,"ufds=139637909620960, nfds=1, timeout_msecs=-1, context.packet_seq_num=0, context.cpu_id=2",7458,20,7457,[fs/select.c:0]
