Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:35:49.076 645 531,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffffa02a971e, ptr=0xffff880757a7da40, bytes_req=40, bytes_alloc=40, gfp_flags=34078752, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 645 857,kernel_3,3,kmem_kfree,"call_site=0xffffffffa0297c59, ptr=0xffff88047c828cc0, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 646 350,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffffa02a971e, ptr=0xffff880757a7da18, bytes_req=40, bytes_alloc=40, gfp_flags=34078752, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 647 185,kernel_3,3,block_dirty_buffer,"dev=8388609, sector=18446744073709486080, size=4096, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 647 547,kernel_3,3,writeback_dirty_page,"name=8:0, ino=12062114, index=0, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 647 988,kernel_3,3,writeback_mark_inode_dirty,"name=8:0, ino=12062114, state=0, flags=4, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 648 442,kernel_3,3,writeback_mark_inode_dirty,"name=8:0, ino=12062114, state=4, flags=7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 648 625,kernel_3,3,writeback_dirty_inode_start,"name=8:0, ino=12062114, state=4, flags=7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 648 892,kernel_3,3,block_touch_buffer,"dev=8388609, sector=48234746, size=4096, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 649 268,kernel_3,3,writeback_dirty_inode,"name=8:0, ino=12062114, state=4, flags=7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 649 526,kernel_3,3,kmem_cache_free,"call_site=0xffffffffa02441d8, ptr=0xffff880754ded2c8, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 650 036,kernel_3,3,syscall_exit_write,"ret=79, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,[fs/read_write.c:0]
09:35:49.076 650 772,kernel_3,3,syscall_entry_close,"fd=5, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,[fs/open.c:0]
09:35:49.076 651 116,kernel_3,3,syscall_exit_close,"ret=0, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,[fs/open.c:0]
09:35:49.076 652 450,kernel_3,3,x86_exceptions_page_fault_user,"address=0x3425598, ip=0x6fb587, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 653 192,kernel_3,3,x86_exceptions_page_fault_user,"address=0x351ec50, ip=0x740340, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 654 813,kernel_3,3,x86_exceptions_page_fault_user,"address=0x3459094, ip=0x6eae5f, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 655 507,kernel_3,3,x86_exceptions_page_fault_user,"address=0x34acbe8, ip=0x6c2109, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 656 842,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7f9d67123c10, ip=0x759193, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 658 566,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7f9d67120d50, ip=0x736d41, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 662 021,kernel_3,3,x86_exceptions_page_fault_user,"address=0x34314d0, ip=0x7f9d6b57639a, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 662 856,kernel_3,3,x86_exceptions_page_fault_user,"address=0x3458f38, ip=0x79a68b, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 664 166,kernel_3,3,x86_exceptions_page_fault_user,"address=0x342f068, ip=0x602f77, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 664 792,kernel_3,3,x86_exceptions_page_fault_user,"address=0x3450280, ip=0x6fb539, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 666 499,kernel_3,3,x86_exceptions_page_fault_user,"address=0x3555a40, ip=0x6dcaa3, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 667 549,kernel_3,3,x86_exceptions_page_fault_user,"address=0x3436578, ip=0x6e8985, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
09:35:49.076 668 275,kernel_3,3,x86_exceptions_page_fault_user,"address=0x33987b8, ip=0x7f9d6b57639a, error_code=0x7, context.packet_seq_num=0, context.cpu_id=3",5859,20,5859,
