Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:42:19.242 765 607,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a232e, ptr=0xffff8807f9884140, bytes_req=64, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 766 006,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff8107604e, ptr=0xffff8807f5acc580, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 766 172,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a2149, ptr=0xffff8807889bcb80, bytes_req=64, bytes_alloc=64, gfp_flags=33554944, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 766 359,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a22fb, ptr=0xffff8807f7eced70, bytes_req=72, bytes_alloc=72, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 766 504,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a232e, ptr=0xffff8807f5cdf800, bytes_req=64, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 766 944,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff8107604e, ptr=0xffff8802ceaa8040, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 767 177,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a2149, ptr=0xffff880782df48c0, bytes_req=64, bytes_alloc=64, gfp_flags=33554944, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 767 522,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a22fb, ptr=0xffff8800cafcb9c8, bytes_req=72, bytes_alloc=72, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 767 661,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a232e, ptr=0xffff88072643ddc0, bytes_req=64, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 767 967,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff8107604e, ptr=0xffff8802ceaa8f40, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 768 132,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a2149, ptr=0xffff880782df44c0, bytes_req=64, bytes_alloc=64, gfp_flags=33554944, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 768 497,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a22fb, ptr=0xffff8807f6c4b350, bytes_req=72, bytes_alloc=72, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 768 643,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a232e, ptr=0xffff8807f5e51240, bytes_req=64, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 769 151,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea00078ebdc0, pfn=1981175, order=0, gfp_flags=37913792, migratetype=0, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 769 555,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea000a6a1240, pfn=2730057, order=0, gfp_flags=40010944, migratetype=0, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 770 212,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff8107604e, ptr=0xffff8807815337c0, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
09:42:19.242 771 073,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff8107604e, ptr=0xffff880005a22100, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",7742,20,7742,
