Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:45:50.931 380 529,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd23d22d0, ip=0x7fbdd21bbdeb, error_code=0x6, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 380 900,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811a2571, ptr=0xffff880128acd680, bytes_req=64, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 381 117,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811a261b, ptr=0xffff8807f5d74ed8, bytes_req=72, bytes_alloc=72, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 381 640,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001eea6e80, pfn=8104378, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 382 333,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd21c6d40, ip=0x7fbdd21c6d40, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 383 481,kernel_3,3,syscall_entry_rt_sigaction,"sig=32, act=140722622868496, sigsetsize=8, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/signal.c:0]
09:45:50.931 383 912,kernel_3,3,syscall_exit_rt_sigaction,"ret=0, oact=0, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/signal.c:0]
09:45:50.931 384 137,kernel_3,3,syscall_entry_rt_sigaction,"sig=33, act=140722622868496, sigsetsize=8, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/signal.c:0]
09:45:50.931 384 340,kernel_3,3,syscall_exit_rt_sigaction,"ret=0, oact=0, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/signal.c:0]
09:45:50.931 384 576,kernel_3,3,syscall_entry_rt_sigprocmask,"how=1, nset=140722622868872, sigsetsize=8, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/signal.c:0]
09:45:50.931 385 177,kernel_3,3,syscall_exit_rt_sigprocmask,"ret=0, oset=0, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/signal.c:0]
09:45:50.931 386 660,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd2cb5030, ip=0x7fbdd2cb5030, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 388 335,kernel_3,3,syscall_entry_getrlimit,"resource=3, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/sys.c:0]
09:45:50.931 388 763,kernel_3,3,syscall_exit_getrlimit,"ret=0, rlim=140722622868848, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,[kernel/sys.c:0]
09:45:50.931 389 606,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd2f75840, ip=0x7fbdd2cc956d, error_code=0x6, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 390 095,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001eea6ec0, pfn=8104379, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 391 308,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd2f74f98, ip=0x7fbdd2bf43e8, error_code=0x6, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 391 780,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001e35aa80, pfn=7919274, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 392 849,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd2c00920, ip=0x7fbdd2c00920, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 394 604,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd2c6e710, ip=0x7fbdd2c6e710, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 399 508,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd2c8e440, ip=0x7fbdd2c8e440, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 401 125,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd1d956d0, ip=0x7fbdd1b7b3c8, error_code=0x6, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 401 475,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811a2571, ptr=0xffff8807f5e8bf00, bytes_req=64, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 401 688,kernel_3,3,kmem_cache_alloc,"call_site=0xffffffff811a261b, ptr=0xffff8807f5cad9c8, bytes_req=72, bytes_alloc=72, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 402 141,kernel_3,3,kmem_mm_page_alloc,"page=0xffffea001e35aac0, pfn=7919275, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
09:45:50.931 403 265,kernel_3,3,x86_exceptions_page_fault_user,"address=0x7fbdd2caf950, ip=0x7fbdd2caf950, error_code=0x14, context.packet_seq_num=0, context.cpu_id=3",8880,20,8880,
