Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:42:49.313 345 940,kernel_0,0,syscall_exit_newfstat,"ret=0, statbuf=140735187603840, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/stat.c:0]
09:42:49.313 346 308,kernel_0,0,syscall_entry_newfstat,"fd=9, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/stat.c:0]
09:42:49.313 346 469,kernel_0,0,syscall_exit_newfstat,"ret=0, statbuf=140735187603456, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/stat.c:0]
09:42:49.313 346 646,kernel_0,0,syscall_entry_mmap,"addr=0x0, len=4096, prot=3, flags=34, fd=-1, offset=0, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[arch/x86/kernel:0]
09:42:49.313 347 469,kernel_0,0,syscall_exit_mmap,"ret=0x7fb823067000, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[arch/x86/kernel:0]
09:42:49.313 347 793,kernel_0,0,syscall_entry_read,"fd=9, count=4096, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/read_write.c:0]
09:42:49.313 348 715,kernel_0,0,x86_exceptions_page_fault_kernel,"address=0x7fb823067000, ip=0xffffffff812fe0a0, error_code=0x2, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 349 396,kernel_0,0,kmem_mm_page_alloc,"page=0xffffea001efebac0, pfn=8125163, order=0, gfp_flags=37912778, migratetype=1, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 350 503,kernel_0,0,syscall_exit_read,"ret=2945, buf=140428838334464, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/read_write.c:0]
09:42:49.313 351 451,kernel_0,0,syscall_entry_lseek,"fd=9, offset=-1863, whence=1, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/read_write.c:0]
09:42:49.313 351 904,kernel_0,0,syscall_exit_lseek,"ret=1082, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/read_write.c:0]
09:42:49.313 352 212,kernel_0,0,syscall_entry_read,"fd=9, count=4096, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/read_write.c:0]
09:42:49.313 352 678,kernel_0,0,syscall_exit_read,"ret=1863, buf=140428838334464, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/read_write.c:0]
09:42:49.313 355 059,kernel_0,0,syscall_entry_close,"fd=9, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/open.c:0]
09:42:49.313 355 370,kernel_0,0,syscall_exit_close,"ret=0, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/open.c:0]
09:42:49.313 356 033,kernel_0,0,syscall_entry_munmap,"addr=140428838334464, len=4096, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[mm/mmap.c:0]
09:42:49.313 356 511,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff8119bf07, ptr=0xffff88075e8f7a00, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 356 784,kernel_0,0,kmem_cache_alloc,"call_site=0xffffffff811a2149, ptr=0xffff88077bc75600, bytes_req=64, bytes_alloc=64, gfp_flags=33554944, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 358 808,kernel_0,0,kmem_cache_free,"call_site=0xffffffff811a1f9f, ptr=0xffff88077bc75600, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 359 567,kernel_0,0,kmem_mm_page_free_batched,"page=0xffffea001efebac0, pfn=8125163, cold=0, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 359 830,kernel_0,0,kmem_mm_page_free,"page=0xffffea001efebac0, pfn=8125163, order=0, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 360 296,kernel_0,0,kmem_cache_free,"call_site=0xffffffff8119addb, ptr=0xffff88075e8f7a00, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 360 543,kernel_0,0,syscall_exit_munmap,"ret=0, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[mm/mmap.c:0]
09:42:49.313 382 739,kernel_0,0,syscall_entry_write,"fd=1, buf=140428838338560, count=228, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,[fs/read_write.c:0]
09:42:49.313 383 487,kernel_0,0,sched_waking,"comm=php5, tid=7892, prio=20, target_cpu=2, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
09:42:49.313 384 428,kernel_0,0,sched_wakeup,"comm=php5, tid=7892, prio=20, target_cpu=2, context.packet_seq_num=0, context.cpu_id=0",8014,20,8014,
